images,MOS
deepai_8_1_1_0.jpg,2.6344
dreamStudio_4_3_1_0.jpg,1.2439
deepai_0_6_0_0.jpg,2.8894
dreamStudio_0_1_0_0.jpg,2.1138
deepai_11_0_1_1.jpg,3.405
dreamStudio_2_1_0_1.jpg,1.8566
deepai_7_11_0_1.jpg,3.3734
deepai_6_11_1_1.jpg,3.3521
deepai_0_1_0_0.jpg,2.6469
deepai_8_6_0_0.jpg,2.8407
deepai_8_0_0_1.jpg,3.7476
deepai_0_14_1_1.jpg,3.4734
deepai_9_4_1_0.jpg,2.9335
deepai_3_3_0_1.jpg,2.7084
dreamStudio_4_8_1_0.jpg,2.0891
deepai_1_10_0_1.jpg,2.81
dreamStudio_1_1_1_1.jpg,1.9488
deepai_5_3_0_0.jpg,3.0669
deepai_4_2_0_1.jpg,3.0184
deepai_4_10_0_1.jpg,2.214
deepai_11_7_1_0.jpg,3.2545
deepai_3_13_0_0.jpg,2.8341
deepai_3_13_0_1.jpg,3.6245
deepai_2_14_0_0.jpg,3.9323
deepai_8_0_0_0.jpg,2.9884
deepai_7_9_1_1.jpg,3.8984
dreamStudio_3_5_1_0.jpg,1.7185
deepai_2_13_1_0.jpg,4.3138
dreamStudio_2_4_1_0.jpg,0.7088
dreamStudio_1_4_0_0.jpg,1.1441
dreamStudio_1_9_0_1.jpg,1.969
deepai_2_9_0_1.jpg,2.6649
deepai_3_7_1_0.jpg,2.9226
dreamStudio_4_7_1_0.jpg,2.3723
deepai_9_10_0_0.jpg,3.5159
dreamStudio_1_6_0_1.jpg,1.4295
dreamStudio_1_2_1_1.jpg,1.8936
deepai_5_7_1_1.jpg,4.0427
deepai_8_4_0_0.jpg,3.6523
deepai_11_9_1_1.jpg,3.6207
deepai_1_4_1_1.jpg,2.4003
deepai_4_8_1_0.jpg,2.7
deepai_3_7_0_1.jpg,3.6901
dreamStudio_2_9_1_0.jpg,1.406
deepai_7_12_1_1.jpg,3.1059
dreamStudio_6_1_0_0.jpg,1.9977
dreamStudio_6_9_0_0.jpg,0.0
deepai_2_7_0_1.jpg,5.0
deepai_10_1_0_0.jpg,3.3174
deepai_2_1_0_1.jpg,2.9853
deepai_11_1_0_1.jpg,3.1174
dreamStudio_0_9_0_0.jpg,1.7445
deepai_7_6_0_1.jpg,1.8551
deepai_1_1_0_1.jpg,2.0356
deepai_4_3_0_0.jpg,2.7909
deepai_4_14_1_1.jpg,1.6651
deepai_9_6_1_1.jpg,3.1344
deepai_1_6_0_0.jpg,2.7857
dreamStudio_4_8_0_0.jpg,2.1158
dreamStudio_8_3_0_1.jpg,0.6161
deepai_4_7_1_0.jpg,2.7129
dreamStudio_6_8_0_1.jpg,2.8655
dreamStudio_4_9_0_0.jpg,0.0
deepai_11_4_1_1.jpg,2.7832
deepai_5_5_1_1.jpg,2.6918
dreamStudio_3_6_1_1.jpg,1.8641
deepai_9_2_0_1.jpg,3.0664
deepai_11_3_0_0.jpg,2.8997
deepai_11_14_1_0.jpg,3.2436
deepai_4_9_0_0.jpg,2.9448
deepai_0_3_1_0.jpg,3.3568
deepai_7_11_1_0.jpg,2.1699
dreamStudio_3_2_0_1.jpg,1.282
dreamStudio_2_2_0_0.jpg,1.5608
dreamStudio_3_4_1_0.jpg,2.0884
deepai_6_3_0_0.jpg,3.2785
deepai_10_2_0_1.jpg,3.3538
deepai_11_2_1_0.jpg,2.7951
deepai_7_5_0_0.jpg,3.0259
deepai_7_2_1_1.jpg,3.3488
dreamStudio_8_4_0_0.jpg,1.652
dreamStudio_5_5_0_1.jpg,1.3616
deepai_11_5_0_0.jpg,2.5874
deepai_10_8_0_0.jpg,3.9682
deepai_11_9_0_1.jpg,3.2349
dreamStudio_1_5_0_1.jpg,0.7628
dreamStudio_3_5_0_1.jpg,3.2586
dreamStudio_0_1_1_1.jpg,1.8069
deepai_8_12_0_1.jpg,3.2491
dreamStudio_1_9_0_0.jpg,1.373
dreamStudio_0_7_0_1.jpg,1.2791
deepai_3_9_0_1.jpg,3.4484
dreamStudio_7_5_0_1.jpg,0.3925
deepai_5_1_0_0.jpg,2.8214
deepai_0_11_0_1.jpg,4.4109
deepai_9_14_1_0.jpg,2.3089
deepai_2_9_0_0.jpg,2.7465
dreamStudio_8_2_1_1.jpg,0.6008
deepai_7_9_0_0.jpg,3.3065
dreamStudio_6_3_0_1.jpg,1.6792
deepai_3_11_0_1.jpg,3.6782
deepai_8_4_1_0.jpg,3.2229
deepai_6_14_0_0.jpg,2.8634
deepai_5_9_1_0.jpg,1.9307
dreamStudio_1_1_0_1.jpg,2.1752
deepai_1_7_1_0.jpg,2.7341
deepai_3_14_0_0.jpg,3.4782
deepai_5_12_1_0.jpg,3.6179
deepai_7_14_0_0.jpg,3.0101
dreamStudio_5_3_1_0.jpg,2.1939
dreamStudio_4_8_1_1.jpg,2.0067
deepai_6_1_0_1.jpg,2.5616
deepai_6_9_1_0.jpg,2.719
deepai_6_7_1_0.jpg,2.621
dreamStudio_5_2_0_0.jpg,1.9679
deepai_5_12_0_1.jpg,3.4384
deepai_4_2_1_1.jpg,3.179
deepai_10_0_1_0.jpg,3.0305
deepai_3_12_0_0.jpg,3.2401
dreamStudio_6_2_1_1.jpg,1.1941
deepai_1_6_0_1.jpg,2.9968
deepai_10_13_1_0.jpg,2.2796
deepai_10_0_0_1.jpg,5.0
dreamStudio_7_5_0_0.jpg,1.5479
deepai_1_2_0_1.jpg,3.211
deepai_9_12_1_0.jpg,2.8171
dreamStudio_5_9_1_1.jpg,0.4082
deepai_1_5_1_0.jpg,3.0514
dreamStudio_1_3_0_1.jpg,2.0447
deepai_1_8_1_1.jpg,2.5134
deepai_1_12_0_0.jpg,4.0318
deepai_6_4_0_1.jpg,2.9717
deepai_4_10_0_0.jpg,2.9169
deepai_11_6_0_0.jpg,3.3882
deepai_0_0_0_1.jpg,4.16
deepai_8_10_1_0.jpg,2.5515
dreamStudio_7_8_1_1.jpg,2.5116
deepai_9_11_1_0.jpg,2.5972
dreamStudio_1_2_1_0.jpg,1.1622
deepai_9_3_1_0.jpg,2.5681
dreamStudio_4_0_1_1.jpg,1.9712
deepai_8_12_1_0.jpg,2.9812
deepai_1_12_1_1.jpg,4.1945
deepai_7_8_1_1.jpg,2.8004
deepai_9_3_1_1.jpg,2.4141
deepai_1_11_1_1.jpg,2.1858
dreamStudio_8_4_0_1.jpg,1.9933
dreamStudio_4_7_1_1.jpg,1.7432
dreamStudio_7_4_0_1.jpg,0.7779
deepai_8_6_1_1.jpg,2.8465
dreamStudio_6_0_1_0.jpg,0.6892
dreamStudio_0_5_0_0.jpg,1.1021
deepai_7_12_1_0.jpg,3.6617
dreamStudio_0_8_0_1.jpg,1.5384
dreamStudio_8_0_0_0.jpg,1.9583
dreamStudio_8_9_0_1.jpg,0.0168
dreamStudio_6_3_1_0.jpg,2.4101
dreamStudio_3_9_1_1.jpg,2.012
dreamStudio_8_9_1_0.jpg,0.6082
dreamStudio_0_7_1_1.jpg,2.0628
deepai_3_4_0_1.jpg,3.1797
deepai_5_1_1_1.jpg,2.2106
dreamStudio_6_9_0_1.jpg,1.9651
deepai_2_4_0_0.jpg,2.9031
deepai_4_14_0_0.jpg,2.5718
dreamStudio_3_3_0_0.jpg,2.1643
deepai_11_14_0_0.jpg,2.3658
deepai_1_0_1_1.jpg,3.9194
dreamStudio_8_1_0_0.jpg,2.0002
deepai_8_14_1_1.jpg,3.2214
dreamStudio_4_0_0_0.jpg,2.4345
dreamStudio_7_8_0_1.jpg,2.1946
deepai_11_3_0_1.jpg,2.7603
dreamStudio_6_7_1_1.jpg,1.8107
deepai_10_6_0_1.jpg,3.0307
deepai_0_10_0_0.jpg,2.3157
deepai_11_6_1_1.jpg,3.3642
deepai_8_7_0_0.jpg,2.6024
deepai_5_14_0_0.jpg,1.9587
deepai_5_14_0_1.jpg,2.4324
deepai_9_2_1_1.jpg,3.4685
deepai_11_14_0_1.jpg,2.9256
dreamStudio_4_1_0_1.jpg,2.1619
dreamStudio_4_2_1_1.jpg,1.1272
deepai_5_10_1_0.jpg,2.6609
deepai_6_7_0_1.jpg,3.0358
deepai_4_7_0_0.jpg,3.0398
dreamStudio_4_4_1_1.jpg,0.2256
deepai_7_2_0_1.jpg,2.5721
deepai_0_13_1_1.jpg,2.0699
deepai_11_0_0_0.jpg,3.0639
dreamStudio_1_5_0_0.jpg,1.1159
dreamStudio_1_0_1_1.jpg,1.5162
deepai_11_12_1_0.jpg,2.6763
deepai_0_7_0_1.jpg,3.0943
deepai_10_8_0_1.jpg,1.9209
deepai_5_0_0_0.jpg,2.8637
deepai_5_8_0_0.jpg,3.5642
dreamStudio_5_2_1_1.jpg,2.1223
deepai_3_10_0_0.jpg,3.1539
deepai_1_3_0_0.jpg,2.3086
dreamStudio_2_5_0_0.jpg,1.4698
deepai_0_9_1_1.jpg,1.8455
deepai_1_10_1_1.jpg,2.3044
deepai_5_2_0_0.jpg,2.839
deepai_11_14_1_1.jpg,2.8555
deepai_5_9_1_1.jpg,3.0668
deepai_9_0_1_0.jpg,3.002
dreamStudio_0_9_1_1.jpg,1.9019
dreamStudio_3_5_1_1.jpg,0.0
dreamStudio_3_1_1_1.jpg,2.1124
deepai_3_12_1_1.jpg,4.414
deepai_10_5_1_0.jpg,2.6471
dreamStudio_5_5_0_0.jpg,1.2959
deepai_0_11_1_0.jpg,3.3242
deepai_9_1_1_0.jpg,3.061
dreamStudio_3_4_1_1.jpg,1.3683
dreamStudio_4_5_0_1.jpg,0.5429
deepai_2_12_0_0.jpg,3.3312
deepai_4_14_1_0.jpg,2.7982
deepai_7_11_1_1.jpg,2.6903
dreamStudio_2_0_1_1.jpg,1.5114
deepai_5_2_1_0.jpg,2.9602
deepai_7_7_1_0.jpg,3.0549
deepai_3_0_1_0.jpg,2.8273
deepai_0_13_0_0.jpg,2.2565
deepai_7_11_0_0.jpg,2.9566
deepai_8_2_1_0.jpg,2.61
deepai_11_8_1_1.jpg,2.3579
deepai_4_13_0_1.jpg,2.6814
deepai_3_4_0_0.jpg,3.1531
deepai_7_6_1_0.jpg,3.114
dreamStudio_2_4_0_1.jpg,1.5367
deepai_6_11_1_0.jpg,3.3288
dreamStudio_6_8_1_1.jpg,3.0692
deepai_6_1_1_1.jpg,3.3618
dreamStudio_2_0_0_1.jpg,1.48
dreamStudio_8_7_1_0.jpg,0.23
deepai_9_4_0_0.jpg,2.1533
dreamStudio_5_2_1_0.jpg,1.6575
deepai_10_4_0_0.jpg,2.2623
deepai_5_6_0_0.jpg,2.2512
deepai_4_11_1_0.jpg,2.8287
deepai_2_2_1_0.jpg,2.431
deepai_8_9_1_1.jpg,3.124
dreamStudio_1_7_0_0.jpg,1.2693
deepai_8_1_0_0.jpg,3.0118
dreamStudio_3_0_0_0.jpg,3.2716
deepai_6_1_1_0.jpg,2.7659
deepai_7_4_0_1.jpg,3.1616
deepai_5_10_0_1.jpg,2.7028
deepai_0_14_0_1.jpg,3.7092
deepai_0_9_0_1.jpg,3.9638
deepai_5_4_1_0.jpg,2.9987
dreamStudio_0_5_1_0.jpg,1.1634
