images,MOS
deepai_0_11_1_0.jpg,3.3242
deepai_1_7_1_0.jpg,2.7341
deepai_7_3_1_0.jpg,2.3595
dreamStudio_3_2_1_0.jpg,2.0102
dreamStudio_4_3_1_0.jpg,1.2439
deepai_7_11_0_0.jpg,2.9566
dreamStudio_4_2_1_1.jpg,1.1272
dreamStudio_1_9_1_0.jpg,1.8309
deepai_2_10_1_1.jpg,3.3571
dreamStudio_3_2_1_1.jpg,2.2266
deepai_0_14_1_1.jpg,3.4734
deepai_2_2_0_0.jpg,2.614
dreamStudio_6_7_1_1.jpg,1.8107
dreamStudio_5_4_0_0.jpg,1.8047
deepai_0_3_0_0.jpg,2.8565
dreamStudio_8_3_1_0.jpg,1.7149
dreamStudio_2_2_1_1.jpg,1.6198
deepai_6_6_0_1.jpg,3.6596
dreamStudio_7_3_0_1.jpg,2.1131
deepai_4_10_0_1.jpg,2.214
deepai_6_0_1_1.jpg,3.7681
deepai_7_12_0_0.jpg,3.2554
deepai_2_0_0_0.jpg,3.1715
dreamStudio_2_9_0_0.jpg,1.9747
deepai_10_10_1_1.jpg,2.9323
dreamStudio_3_0_1_0.jpg,1.7234
deepai_8_1_1_0.jpg,2.6344
deepai_1_6_1_0.jpg,2.9199
deepai_3_13_0_1.jpg,3.6245
deepai_4_4_1_1.jpg,2.1526
dreamStudio_2_6_1_1.jpg,2.1932
deepai_2_13_1_1.jpg,2.7779
deepai_0_2_0_1.jpg,1.952
deepai_5_4_1_1.jpg,2.6705
deepai_5_9_1_0.jpg,1.9307
deepai_4_2_1_0.jpg,2.4129
deepai_11_10_0_0.jpg,2.7824
deepai_1_10_1_1.jpg,2.3044
dreamStudio_5_5_1_0.jpg,1.6546
dreamStudio_8_2_0_1.jpg,1.5588
deepai_5_14_1_1.jpg,1.4455
dreamStudio_0_2_1_0.jpg,1.6691
deepai_4_4_0_0.jpg,3.0103
deepai_9_0_0_1.jpg,4.0744
deepai_9_13_0_0.jpg,2.3923
deepai_0_4_0_0.jpg,2.9596
dreamStudio_3_0_0_0.jpg,3.2716
dreamStudio_1_0_0_0.jpg,2.0423
deepai_10_1_0_1.jpg,3.1307
deepai_5_11_1_0.jpg,2.7723
deepai_11_2_1_0.jpg,2.7951
deepai_4_5_1_1.jpg,2.5849
dreamStudio_4_1_0_0.jpg,1.7288
deepai_6_3_1_1.jpg,2.9101
deepai_2_8_0_1.jpg,2.7055
deepai_9_6_1_0.jpg,2.7459
deepai_6_5_1_0.jpg,2.6813
deepai_5_1_0_1.jpg,2.9238
deepai_7_9_1_1.jpg,3.8984
deepai_10_6_1_1.jpg,2.7368
dreamStudio_1_4_0_0.jpg,1.1441
deepai_1_11_0_0.jpg,2.5311
dreamStudio_5_0_1_0.jpg,2.3177
deepai_7_2_1_0.jpg,2.4573
deepai_1_7_0_1.jpg,2.8518
deepai_5_10_0_0.jpg,3.085
dreamStudio_7_6_0_1.jpg,2.1006
dreamStudio_0_7_1_0.jpg,2.0796
deepai_9_2_1_1.jpg,3.4685
dreamStudio_5_8_1_1.jpg,1.9568
dreamStudio_0_1_1_0.jpg,1.5149
deepai_10_0_0_1.jpg,5.0
deepai_4_8_1_1.jpg,1.5807
dreamStudio_0_5_1_1.jpg,1.6792
deepai_6_12_0_0.jpg,2.8035
deepai_2_6_1_1.jpg,2.7022
deepai_6_3_0_1.jpg,3.1373
dreamStudio_2_3_0_0.jpg,1.5014
deepai_11_1_1_0.jpg,2.9886
deepai_3_6_1_0.jpg,2.4107
deepai_2_6_0_0.jpg,2.7145
dreamStudio_7_2_0_0.jpg,2.0657
deepai_9_12_1_1.jpg,1.9383
dreamStudio_4_9_0_0.jpg,0.0
deepai_4_6_1_1.jpg,2.4533
deepai_6_5_1_1.jpg,4.2875
deepai_6_9_0_1.jpg,2.9324
deepai_7_7_0_0.jpg,2.8818
dreamStudio_2_9_0_1.jpg,2.1408
deepai_6_9_1_1.jpg,3.08
dreamStudio_5_6_0_1.jpg,1.6444
deepai_11_11_0_1.jpg,3.418
deepai_0_14_0_1.jpg,3.7092
deepai_4_1_1_1.jpg,2.7868
dreamStudio_8_4_0_0.jpg,1.652
deepai_5_5_0_0.jpg,2.7762
deepai_9_10_1_1.jpg,2.9794
dreamStudio_6_1_0_0.jpg,1.9977
deepai_0_13_1_1.jpg,2.0699
deepai_3_7_1_1.jpg,3.3581
deepai_9_10_0_1.jpg,3.8294
deepai_5_9_0_1.jpg,2.743
dreamStudio_7_0_0_1.jpg,2.2936
dreamStudio_6_7_0_0.jpg,0.8209
deepai_7_2_1_1.jpg,3.3488
deepai_6_10_1_1.jpg,2.9952
dreamStudio_2_8_0_1.jpg,2.7911
dreamStudio_3_3_0_1.jpg,2.075
deepai_5_8_0_1.jpg,2.6051
deepai_1_0_0_0.jpg,2.5398
deepai_10_14_1_1.jpg,3.5206
deepai_7_6_1_0.jpg,3.114
dreamStudio_3_5_1_1.jpg,0.0
deepai_7_1_1_0.jpg,3.2629
dreamStudio_1_8_1_0.jpg,3.1626
deepai_8_2_1_0.jpg,2.61
dreamStudio_3_3_0_0.jpg,2.1643
deepai_5_11_1_1.jpg,3.0076
deepai_7_13_1_0.jpg,3.1208
deepai_6_0_1_0.jpg,2.6175
deepai_4_7_1_1.jpg,2.4857
